id,manufacturer,model,transmission,color,odometer,year,engineFuel,engineType,engineCapacity,bodyType,drivetrain,photos,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
1,Hyundai,i40,automatic,red,48000,2014,gasoline,gasoline,2,sedan,front,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
2,Mitsubishi,Carisma,mechanical,green,320000,2000,diesel,diesel,1.9,hatchback,front,13,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,Volkswagen,T5,mechanical,white,164000,2011,diesel,diesel,2,minibus,front,14,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
4,Volkswagen,T4 Multivan,mechanical,blue,385672,1998,diesel,diesel,2.5,minibus,front,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
5,Toyota,Camry,automatic,black,215652,2005,gasoline,gasoline,2.4,sedan,front,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
6,Volkswagen,T4,mechanical,white,295000,2002,diesel,diesel,2.5,minibus,front,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,Chery,A1,mechanical,orange,84384,2008,gasoline,gasoline,1.4,hatchback,front,7,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
8,Volkswagen,T5,mechanical,white,385000,2004,diesel,diesel,1.9,van,front,4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
9,Toyota,Corolla,automatic,white,83400,2015,gasoline,gasoline,1.6,sedan,front,19,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
10,Opel,Movano,mechanical,silver,345000,2002,diesel,diesel,2.2,minibus,front,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11,Audi,100,mechanical,blue,325000,1992,gasoline,gasoline,2.3,sedan,all,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
12,Nissan,Sunny,mechanical,silver,11111,1991,diesel,diesel,2,sedan,front,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,Dodge,Caliber,automatic,silver,107826,2007,gasoline,gasoline,2,hatchback,front,12,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
